Symbol,ROE,DebtToEquity,EPS,BookValuePerShare,CurrentRatio,NetProfitMargin,Segment,DilutedEPS,RevenueCr,NetProfitCr,OperatingMargin,ROA,TotalDebtCr,EquityCr,TotalAssetsCr,CashCr,SharesOutstandingCr,EffectiveTaxRate
BEARDSELL,12.44,0.1908,2.9,23.32,1.35,4.16,,2.9,275.04,11.44,,6.46,17.55,91.98,177.02,7.28,3.945,
BECTORFOOD,11.08,0.1033,4.59,41.44,2.28,6.89,Food Products,4.59,2043.56,140.88,,8.35,131.26,1270.95,1687.34,37.42,30.67,
BEDMUTHA,4.28,1.3698,2.01,47.04,1.4,0.44,,2.01,1466.74,6.5,,0.9,207.91,151.78,726.22,9.76,3.2264,
BEL,25.25,0.0,8.29,32.84,1.98,21.96,,8.29,27610.11,6062.26,,13.61,,24007.14,44537.52,1887.96,730.98,
BELLACASA,12.05,0.2992,15.13,124.81,1.91,4.83,Manufacturing and Retailing in Apparels and home furnishing,15.13,416.4,20.13,,6.68,50.0,167.09,301.5,0.13,1.3388,
BELRISE,9.41,0.2277,5.6,57.13,2.1,6.35,Auto Components Manufacturing,5.6,7528.33,478.4,,6.08,1157.4,5083.53,7872.96,749.75,88.988,
BEML,4.82,0.001,16.97,352.16,2.01,3.25,NA,16.97,4350.53,141.36,,2.02,306.99,2933.11,7010.55,6.77,8.3289,
BEPL,16.63,0.0,7.24,43.53,5.88,14.12,Highly Specialized Engineering Thermoplastics,7.24,1276.0,180.16,,14.02,,1083.22,1285.26,386.8,24.8858,
BERGEPAINT,17.27,0.0,9.4,54.4,2.18,10.51,PAINTS,9.39,10420.1,1095.66,,12.25,,6342.9,8946.2,151.94,116.6,
BESTAGRO,1.15,0.563,0.25,21.67,1.53,0.71,AGROCHEMICALS,0.25,1256.67,8.87,,0.53,432.85,768.77,1686.41,34.49,35.47,
BETA,16.95,0.6039,40.92,241.47,3.1,10.78,PHARMACEUTICAL,40.92,384.83,41.48,,8.37,147.81,244.77,495.8,124.85,1.0137,
BFINVEST,3.98,0.0,38.9,976.99,,71.18,Investment Company,38.9,205.87,146.54,,3.75,,3680.12,3911.13,99.14,3.7668,
BFUTILITIE,1.34,0.0,0.59,44.22,3.38,11.84,,0.59,18.86,2.23,,1.11,,166.58,201.97,0.23,3.7668,
BGLOBAL,3.78,0.0557,2.03,53.53,3.21,877.48,Single segment,2.03,0.37,3.21,,2.96,4.72,84.8,108.21,0.12,1.5843,
BGRENERGY,49.23,-1.7413,-177.35,-360.29,1.57,-427.05,,-177.35,299.69,-1279.82,,-30.16,4527.3,-2599.88,4242.77,6.38,7.216,
BHAGCHEM,2.6,0.3309,1.4,53.85,1.78,3.39,Manufacturing of Agro Chemicals,1.4,535.94,18.17,,1.62,231.05,698.32,1120.19,16.35,12.9669,
BHAGERIA,7.5,0.1701,10.56,136.01,2.19,5.09,,10.56,873.96,44.49,,5.17,100.94,593.59,860.49,5.05,4.3644,
BHAGYANGR,1.24,0.0042,0.69,55.56,0.44,37.52,Renewable Wind Energy,0.69,5.88,2.21,,1.19,0.75,177.76,185.37,0.01,3.1995,
BHANDARI,4.24,0.5519,0.23,5.51,2.29,2.77,TEXTILES,0.32,280.34,7.77,,2.45,101.18,183.34,317.69,19.15,33.2956,
BHARATCOAL,2.22,0.0035,0.28,12.41,0.93,0.94,Mining,0.28,13644.78,128.28,,0.62,2000.0,5778.8,20585.35,367.09,465.7,
BHARATFORG,11.4,0.0072,22.58,199.88,1.17,6.48,,22.58,16811.65,1089.4,,4.89,6874.62,9556.83,22259.96,847.88,47.8135,
BHARATGEAR,12.58,0.4433,10.75,85.44,1.23,2.1,Automotive Gears and Components,10.75,784.17,16.5,,4.12,58.16,131.19,400.78,0.06,1.5355,
BHARATIDIL,-1410.47,0.0,-6.22,4.41,2.55,-1081.71,,-6.22,28.91,-312.73,,-853.54,,22.17,36.64,12.85,5.0299,
BHARATRAS,11.43,0.001,87.67,766.95,7.78,11.73,The Company operates only in one business segment viz. pesticides| hence segment wise reporting is not applicable.,87.67,1241.84,145.72,,10.17,1.23,1274.74,1432.52,22.76,1.6621,
BHARATSE,18.39,0.0048,6.72,36.57,0.88,2.16,Manufacture of Complete seating system and interior component for the automotive and surface transport,6.72,1950.95,42.23,,5.73,50.22,229.66,736.65,15.31,6.28,
BHARATWIRE,8.94,0.0916,10.57,118.22,6.57,12.27,MANUFACTURING OF WIRE| WIRE ROPES| SLINGS,7.66,590.54,72.46,,7.32,74.3,810.83,989.92,0.05,6.8585,
BHARTIARTL,17.26,0.0053,45.96,321.59,0.52,16.03,,44.37,210972.8,33822.8,,6.13,121671.4,195963.4,552151.6,13722.2,609.36,
BHARTIHEXA,24.19,0.0037,34.66,143.3,0.38,18.53,,34.66,9353.8,1733.2,,9.1,2694.3,7165.2,19050.6,33.0,50.0,
BHEL,5.95,0.3087,4.53,76.15,1.59,4.67,,4.53,33782.18,1577.95,,2.06,8186.95,26516.49,76560.13,1435.45,348.205,
BIGBLOC,-5.8,1.3773,-0.12,10.34,1.03,-2.99,AAC BLOCS,-0.12,283.42,-8.48,,-2.18,201.57,146.35,388.51,0.41,14.1576,
BIKAJI,14.9,0.1229,10.31,-1343.17,2.47,8.5,Manufacturing of Bhujia| Papad| Sweets| etc.,10.3,2993.86,254.41,,11.36,209.76,1707.41,2239.54,39.86,-1.2712,
BIL,2.76,1.0919,10.16,363.38,1.54,0.99,Fashion Apparels and Accessories including Intermediaries,10.13,1358.02,13.45,,0.99,532.07,487.31,1358.52,31.99,1.341,
BILVYAPAR,0.02,-0.9381,-0.01,-59.35,0.1,,INR,-0.01,0.0,-0.03,,-0.13,174.75,-186.28,25.24,0.04,3.1385,
BIOCON,1.01,0.4048,2.82,225.92,1.22,2.18,,2.82,16927.0,368.8,,0.58,14824.7,36621.5,63650.6,2416.5,162.1,
BIOFILCHEM,12.92,0.14,1.71,13.25,1.73,9.81,,1.71,28.4,2.79,,6.5,3.02,21.56,42.85,0.06,1.6274,
BIRLACABLE,6.02,0.4675,5.63,93.63,2.19,2.19,CABLES,5.63,771.11,16.9,,3.64,131.32,280.9,464.45,0.65,3.0,
BIRLACORPN,7.57,0.0051,72.41,956.33,1.26,5.77,,72.41,9655.61,557.58,,3.84,3275.27,7364.72,14510.06,129.64,7.701,
BIRLAMONEY,19.48,0.0726,10.35,53.13,,12.48,,10.35,468.59,58.48,,1.69,,300.25,3466.19,97.97,5.6509,
BIRLANU,-10.77,0.7676,-158.55,1466.82,0.84,-3.21,,-158.55,3730.4,-119.56,,-3.89,852.33,1110.38,3070.92,48.93,0.757,
BKMINDST,-48.14,0.6792,-38.8,12.8,0.12,-1947.27,,-38.8,0.67,-13.08,,-23.64,18.46,27.18,55.35,0.02,2.1235,
BLACKBUCK,11.28,0.0182,8.79,78.21,3.33,24.59,,8.76,651.97,160.34,,9.23,25.88,1421.86,1736.31,91.56,18.18,
BLAL,0.96,0.106,0.0,0.27,1.5,1.09,Company operates in only one segment| i.e.| Real Estate,0.0,0.98,0.01,,0.08,,1.12,13.1,0.02,4.1645,
BLBLIMITED,25.57,0.0021,6.3,24.64,20.1,4.48,Shares and Securities,6.3,744.01,33.32,,24.97,0.27,130.32,133.44,10.4,5.29,
BLISSGVS,10.94,0.0024,12.23,116.44,4.02,14.53,Pharmaceutical & Healthcare,12.0,927.11,134.73,,9.03,2.93,1231.76,1492.41,35.14,10.5789,
BLKASHYAP,0.29,0.5671,0.07,23.37,1.3,0.11,Construction,0.07,1379.14,1.55,,0.09,298.74,526.76,1661.64,24.7,22.544,
BLS,111.31,0.0,2.49,2.24,0.68,48.84,Visa and allied services,2.49,209.92,102.53,,35.01,,92.11,292.85,8.71,41.1741,
BLSE,12.16,0.0,6.33,,2.85,6.2,Digital Services,6.33,1117.79,69.27,,9.09,,569.81,761.92,87.93,,
BLUEBLENDS,-27.72,0.1708,-0.66,2.39,0.58,-0.94,,-0.66,153.15,-1.43,,-4.31,0.88,5.18,33.28,2.97,2.1651,
BLUECHIP,40.89,-0.0,-0.05,-0.12,0.04,-160.69,Financial Services,-0.05,0.17,-0.28,,-7.97,,-0.69,3.53,0.02,5.5305,
BLUECOAST,9.66,-0.8286,-1.39,-12.6,0.11,-102.69,Hotel,-1.21,2.04,-2.09,,-30.26,17.95,-21.66,6.92,0.17,1.7192,
BLUEDART,13.92,0.1126,104.26,748.77,1.1,4.03,Integrated air and ground transportation and distribution,104.26,6140.88,247.39,,5.99,200.0,1776.83,4126.85,238.0,2.373,
BLUEJET,18.22,0.0,14.29,78.4,4.21,26.16,Pharmaceutical and API'S,14.29,947.32,247.82,,15.1,,1359.91,1641.16,60.86,17.3465,
BLUESTARCO,15.36,0.0018,25.65,167.02,1.31,4.25,,25.65,12401.99,527.33,,6.15,626.8,3433.86,8575.98,366.99,20.56,
BLUESTONE,0.73,0.4128,1.1,118.44,1.67,0.54,Design| manufacture and sale of jewellery,1.05,2436.42,13.18,,0.27,744.32,1803.0,4961.01,107.52,15.223,
BLUSPRING,1.93,0.0403,1.13,58.29,1.38,0.73,Single segment,1.12,2311.76,16.8,,1.12,35.0,869.27,1495.31,36.27,14.9132,
BMWVENTLTD,8.48,0.5838,4.99,50.95,1.97,1.65,Manufacturing and Distribution of Tata Steel,4.99,2278.23,37.48,,4.98,257.94,441.85,752.05,0.66,8.6715,
BODALCHEM,4.13,0.6913,3.8,91.91,1.2,2.38,In line with Ind AS - 108 – “Operating Segments”| the operations of the Company fall under Chemical Business which is considered to be the only reportable business segment.,3.8,2012.24,47.83,,2.03,800.18,1157.54,2355.77,16.77,12.5945,
BOHRAIND,-4.03,0.016,-1.4,34.85,11.98,,Fertilizer Business,-1.4,0.0,-2.97,,-3.71,1.18,73.79,80.03,16.3,2.1172,
BOMDYEING,1.19,0.0014,1.3,109.35,2.59,1.84,,1.3,1460.33,26.92,,0.91,3.15,2258.65,2963.38,22.28,20.655,
BONLON,2.63,0.382,1.85,60.84,2.5,0.4,Ferrous/ Non Ferrous Metals and its products,1.8,651.18,2.63,,1.6,38.08,99.68,163.84,0.63,1.6383,
BORANA,22.95,0.2468,24.35,105.68,4.33,16.63,Textile,24.35,388.59,64.61,,17.64,69.5,281.58,366.37,1.68,2.6645,
BOROLTD,8.42,0.1538,6.24,74.17,2.21,6.24,Consumer ware,6.24,1195.92,74.66,,5.83,136.41,886.92,1281.74,2.84,11.9582,
