Symbol,ROE,DebtToEquity,EPS,BookValuePerShare,CurrentRatio,NetProfitMargin,Segment,DilutedEPS,RevenueCr,NetProfitCr,OperatingMargin,ROA,TotalDebtCr,EquityCr,TotalAssetsCr,CashCr,SharesOutstandingCr,EffectiveTaxRate
KRITIKA,6.14,0.5452,0.23,3.79,1.9,0.89,MANUFACTURING| EXPORTING AND SUPPLYING OF INDUSTRIAL STEEL WIRES| GALVANIZED WIRES AND ALUMINIUM WIRES,0.23,694.32,6.19,,3.51,54.96,100.82,176.66,0.59,26.628,
KRITINUT,14.8,0.033,6.77,45.73,3.7,3.68,Oil Seed Extraction and Refining,6.77,921.51,33.9,,12.43,7.56,229.13,272.72,46.25,5.0104,
KRN,12.58,0.1601,11.47,91.17,2.25,10.54,,0.0,676.23,71.31,,9.87,90.75,566.68,722.61,2.09,6.2157,
KRONOX,23.82,0.0138,7.51,31.3,7.6,27.33,FINE CHEMICALS,7.51,101.22,27.66,,21.69,1.61,116.13,127.52,2.75,3.7104,
KROSS,11.27,0.1097,8.56,75.92,3.46,8.2,Auto Component,8.56,673.2,55.21,,8.65,53.72,489.76,638.39,4.44,6.451,
KRSNAA,10.35,0.5355,31.69,305.79,2.82,14.86,Healthcare,31.26,690.95,102.67,,5.65,531.14,991.91,1818.45,25.05,3.2438,
KRYSTAL,12.89,0.2224,45.94,357.25,2.01,5.04,,45.94,1277.28,64.35,,7.65,110.99,499.15,841.64,33.65,1.3972,
KSB,,,2.28,,,6.62,,2.28,601.3,39.8,,,,,,,17.4,
KSCL,16.18,0.0,55.07,340.36,2.13,21.73,Produce and selling of sowing seeds,55.07,1303.77,283.26,,10.46,,1750.78,2707.36,29.38,5.1439,
KSERASERA,-1.05,0.1337,0.0,0.3,0.68,,MOVIES DISTRIBUTION,0.0,0.0,-0.68,,-0.77,8.57,64.08,87.31,0.22,213.5875,
KSHINTL,13.63,0.3913,18.38,119.27,1.86,3.54,Manufacturing of Winding Wires,18.37,3106.97,110.13,,8.33,316.21,808.1,1322.57,72.12,6.7756,
KSHITIJPOL,5.66,0.2723,0.23,4.07,2.77,7.94,Manufacturing of PP| PVC profiles| other stationery items,0.23,44.75,3.55,,4.03,17.08,62.74,88.19,0.24,15.4245,
KSL,12.25,0.2257,59.07,481.37,2.14,13.97,Steel Manufacturing,59.07,1845.61,257.87,,8.61,475.03,2104.92,2995.76,76.7,4.3728,
KSOILS,-81.73,18.3917,-0.82,1.01,0.29,-13.57,EDIBLE OIL,-0.82,103.15,-14.0,,-3.5,315.05,17.13,399.84,,16.98,
KSOLVES,116.83,0.051,14.48,12.39,2.4,21.1,Information Technology Services,14.48,162.67,34.33,,55.33,1.5,29.38,62.05,6.92,2.372,
KSR,-16.87,0.2134,-6.93,41.09,1.42,-6.37,Footwear,-6.93,199.95,-12.74,,-7.0,16.11,75.51,181.99,1.96,1.8378,
KTKBANK,,,,,,,,,,,,,,,129355.2,,37.819,
KUANTUM,3.42,0.7,4.81,140.7,0.66,3.84,Manufacturing of writing and printing paper,4.81,1093.16,41.95,,1.75,859.84,1228.32,2398.86,40.93,8.73,
KUNDANMM,45.51,1.2522,17.91,39.29,1.27,2.27,Precious Metals and Related Products,17.91,4757.39,108.15,,13.0,297.56,237.62,831.85,2.16,6.0484,
KWIL,-54.86,0.82,-1.57,2.86,0.77,-16.43,Ice-cream,-1.57,2245.3,-368.8,,-20.09,50.3,672.2,1836.1,14.0,235.0,
LAGNAM,10.63,2.6443,8.14,76.6,1.03,2.38,MANUFACTURING OF 100% COTTON YARN,8.14,604.98,14.39,,2.52,357.9,135.35,571.59,0.18,1.7669,
LAL,8.37,0.3796,0.25,3.01,2.43,5.98,The Company does not have more than one reportable segment in terms of IND AS 108 hence segment wise reporting is not applicable.,0.25,72.75,4.35,,4.96,19.75,52.03,87.75,0.78,17.2737,
LALPATHLAB,20.06,0.0,30.24,151.63,3.48,18.45,The business of running laboratories for carrying out Pathological investigations of various branches of Bio-chemistry| Hematology| Histopathology| Microbiology| Electrophoresis| Immuno-chemistry| Immunology| Virology| Cytology| other pathological and radiological investigations.,30.2,2762.9,509.8,,16.2,,2541.3,3146.0,242.8,16.76,
LAMBODHARA,8.58,0.303,10.6,123.58,3.66,4.62,,10.6,237.96,11.0,,5.67,38.86,128.25,194.2,6.77,1.0378,
LANCORHOL,16.88,0.3946,5.54,32.73,2.71,33.97,CONSTRUCTION,5.54,119.62,40.63,,9.9,94.99,240.74,410.5,14.11,7.3551,
LANDMARK,6.51,0.8525,9.01,140.97,1.12,0.78,Dealership of Cars,9.01,4896.23,38.08,,1.92,498.31,584.53,1979.18,36.35,4.1464,
LAOPALA,11.25,0.0101,8.32,73.91,19.69,29.87,Glass & Glassware,8.32,309.06,92.3,,10.32,8.29,820.36,894.58,0.11,11.1,
LASA,-68.7,0.1964,-6.8,9.9,0.62,-135.6,Equity,-6.8,25.14,-34.09,,-51.44,9.75,49.62,66.27,0.29,5.0101,
LATENTVIEW,11.33,0.0,9.59,86.21,4.05,19.06,Develop and deploy  analytics solutions,9.56,1060.19,202.12,,9.65,0.02,1783.89,2094.39,158.51,20.692,
LATTEYS,14.91,0.9112,0.62,4.15,1.32,3.04,PUMPS & MOTORS,0.0,116.88,3.56,,4.31,21.73,23.85,82.59,0.05,5.7496,
LAURUSLABS,16.39,0.4414,16.47,100.61,1.33,13.07,Manufacturer of Generics API| Generics FDF| Synthesis and Bio Technology,16.45,6812.9,890.14,,8.47,2397.49,5431.36,10511.19,112.66,53.985,
LAXMICOT,-1.97,0.7018,-1.11,35.46,1.4,-0.8,Cotton and Yarn,-1.11,150.67,-1.2,,-1.08,42.68,60.81,111.56,0.32,1.7148,
LAXMIDENTL,11.85,0.0,5.53,44.42,6.21,10.41,,5.53,277.86,28.92,,9.84,,244.11,293.97,8.4,5.496,
LAXMIINDIA,10.69,0.0288,10.2,89.06,,15.69,NBFC,10.2,317.03,49.76,,2.74,,465.47,1817.78,42.36,5.2268,
LCCINFOTEC,-1.15,0.0557,-0.03,2.53,2.84,-1602.27,IT SOFTWARE AND SKILL TRAINING,-0.04,0.03,-0.49,,-1.04,2.38,42.73,47.59,0.07,16.8593,
LEEL,2.05,0.0,1.98,96.66,0.54,7.39,Manufacturing of Parts of Air Conditioning Machines,1.98,28.92,2.14,,1.56,,104.42,136.81,0.1,1.0803,
LEMERITE,8.05,0.605,4.47,54.65,2.01,3.09,Textile Segment,4.37,355.92,11.01,,4.4,82.78,136.82,250.33,10.04,2.5034,
LEMONTREE,7.93,0.1157,1.37,17.26,0.83,24.54,Hotel Business,1.37,442.04,108.47,,6.16,158.17,1367.04,1762.26,9.07,79.1847,
LENSKART,5.66,0.0248,2.91,50.98,2.26,5.68,,2.9,8814.04,500.95,,3.48,219.55,8851.74,14413.32,973.3,173.6415,
LEXUS,5.71,3.0509,0.51,8.77,1.95,1.68,,0.36,61.88,1.04,,0.95,55.65,18.24,109.22,0.02,2.0791,
LFIC,-1.25,0.0,-2.38,190.78,,-10.25,INVESTMENTS,-2.38,6.97,-0.71,,-1.19,,57.23,59.82,1.81,0.3,
LGBBROSLTD,14.78,0.0857,99.95,676.1,1.78,10.36,,99.95,3075.63,318.74,,10.64,184.78,2156.24,2994.87,21.48,3.1892,
LGEINDIA,21.98,0.0,24.83,112.93,2.08,6.85,,24.83,24604.91,1685.09,,12.36,,7665.56,13636.25,4476.27,67.8772,
LGHL,6.21,0.0153,0.88,14.11,4.63,4.21,,0.88,104.31,4.39,,2.23,108.42,70.66,196.97,0.2,5.0093,
LIBAS,0.24,0.1553,1.3,32.31,3.58,0.26,,1.3,78.08,0.21,,0.18,13.22,85.13,113.86,7.34,2.6345,
LIBERTSHOE,4.79,0.3412,6.59,137.2,1.89,1.51,Footwear,6.59,739.99,11.19,,2.14,79.77,233.78,522.65,2.99,1.704,
LICHSGFIN,13.53,0.0,101.87,752.78,,19.43,,101.87,28837.11,5604.24,,1.72,,41433.04,325212.96,709.56,55.04,
LICI,,,,,5.95,,,,,,,,,,5909531.25,,,-7.04
LIKHITHA,9.37,0.0,9.94,104.32,8.69,8.44,Laying of Oil & Gas Pipeline and associated facilities,9.94,456.73,38.55,,8.33,,411.55,462.81,70.27,3.945,
LINC,12.67,0.0247,5.5,43.67,2.5,6.06,Writing Instruments and stationery,5.5,543.01,32.91,,9.16,6.43,259.79,359.32,13.29,5.9489,
LINCOLN,11.6,0.0058,43.88,378.25,5.25,13.1,The Company is engaged in the business of manufacturing and selling of Pharmaceuticals formulations as well as undertakes contract manufacturing from reputed pharmaceuticals companies,43.88,671.03,87.89,,9.87,4.42,757.63,890.4,21.53,2.003,
LINDEINDIA,12.87,0.0,64.37,500.28,0.86,21.69,,64.37,2530.64,548.97,,9.45,,4266.55,5808.28,110.45,8.5284,
LLOYDSENGG,11.74,0.0201,1.52,11.69,2.77,15.18,,1.49,1301.14,197.57,,8.34,33.83,1683.31,2369.08,336.39,143.95,
LLOYDSENT,7.67,0.1332,3.08,35.97,3.02,23.74,,3.08,1756.29,416.96,,5.81,723.37,5432.73,7180.18,341.6,151.04,
LLOYDSME,27.11,0.0046,60.24,209.33,0.87,23.35,,58.03,13680.59,3194.3,,15.71,5419.39,11781.31,20326.67,554.97,56.28,
LMW,4.56,0.0,122.37,2684.01,2.3,4.08,,122.37,3207.42,130.73,,3.07,,2866.52,4262.03,394.71,1.068,
LODHA,14.64,0.0043,34.34,234.55,1.75,20.57,The Company is engaged in the business of real estate,34.25,16676.2,3430.7,,5.82,9883.9,23429.2,58936.6,2702.6,99.89,
LOKESHMACH,1.69,0.7422,1.95,114.17,1.47,1.85,,1.95,208.56,3.86,,0.78,169.43,228.3,495.89,0.22,1.9997,
LORDSCHLO,11.75,0.6678,9.94,84.64,1.7,7.3,Chemical,9.94,390.14,28.49,,5.95,161.95,242.52,478.7,21.74,2.8654,
LOTUSDEV,12.68,0.068,5.04,39.26,6.08,31.64,Real Estate Development,5.04,768.95,243.3,,10.35,130.53,1918.69,2351.46,748.84,48.872,
LOTUSEYE,0.13,0.1901,0.04,28.92,1.22,0.15,Eye care related sales and services,0.04,53.71,0.08,,0.1,11.43,60.14,82.6,1.81,2.0796,
LOVABLE,1.85,0.0151,2.26,122.17,5.68,7.94,Garments and apparel,0.0,42.17,3.35,,1.69,2.73,180.81,198.18,0.84,1.48,
LOYALTEX,-31.71,1.0572,-134.28,423.09,0.85,-15.33,Textile,-134.28,421.95,-64.67,,-12.31,215.6,203.93,525.49,0.52,0.482,
LPDC,3.6,0.0,0.11,3.09,25.89,20.33,Real Estate,0.11,7.35,1.49,,3.46,,41.46,43.14,1.0,13.4143,
LT,8.44,0.0016,45.71,541.8,1.29,4.09,,45.69,153680.17,6287.13,,3.02,11381.13,74532.9,208138.24,6152.25,137.565,
LTF,,0.0409,3.6,,,17.47,Lending,3.59,5243.31,915.99,,,,,,,250.551,
LTFOODS,13.83,0.2153,18.01,130.18,1.76,5.71,rice processing,18.01,10945.56,625.38,,6.9,973.25,4520.44,9064.44,232.95,34.7253,
LTM,,,41.86,,,11.29,IT & ITES,41.83,10988.3,1241.1,,,,,,,29.6,
LTTS,19.73,0.0,120.71,612.47,2.48,11.65,,120.53,10995.9,1281.1,,12.21,,6492.2,10488.9,1649.7,10.6,
LUMAXIND,18.8,0.8794,184.5,981.53,0.76,4.12,Manufacturing and Trading of Automotive Components,184.5,4184.16,172.47,,5.02,806.82,917.5,3435.1,24.94,0.9348,
LUMAXTECH,22.84,0.678,40.91,216.55,1.05,6.92,Manufacturing and Trading of Automotive Components,40.91,4870.33,337.15,,8.54,1000.66,1475.98,3947.01,81.89,6.8158,
LUPIN,21.13,0.0191,139.38,659.09,3.23,32.63,Pharmaceuticals,139.01,19512.66,6366.56,,17.63,576.88,30133.77,36102.89,111.63,45.72,
LUXIND,5.83,0.3187,34.52,581.71,2.18,3.62,,34.52,2928.74,106.07,,3.43,580.28,1820.76,3088.86,91.05,3.13,
LXCHEM,4.0,0.2723,2.87,71.66,1.36,2.79,Chemical Business,2.86,2846.67,79.36,,2.3,540.82,1985.94,3445.78,60.14,27.715,
LYKALABS,-37.11,0.5558,-9.18,24.38,1.13,-26.71,Pharmaceuticals,-9.18,120.91,-32.29,,-18.91,48.36,87.0,170.75,1.19,3.569,
LYPSAGEMS,9.53,0.7896,0.59,6.16,1.32,11.76,Gems| Jewellery And Watches,0.59,14.72,1.73,,2.53,14.35,18.17,68.53,0.0,2.9484,
M&M,17.01,0.04,153.1,979.73,1.27,9.37,,152.18,198638.55,18621.71,,5.86,129614.5,109491.0,317634.64,4292.24,111.756,
M&MFIN,10.72,0.0482,20.88,192.09,,13.62,,20.86,21005.37,2861.11,,1.8,,26691.97,158643.94,465.45,138.955,
MAANALU,4.74,0.1963,2.35,45.81,3.03,1.61,ALUMINIUM,2.35,808.71,13.03,,3.59,53.94,274.75,363.13,0.09,5.998,
MACPOWER,19.33,0.0022,33.86,175.17,2.34,10.17,MANUFACTURING OF MACHINES,33.86,333.18,33.87,,12.76,0.39,175.25,265.46,5.95,1.0004,
MADHAV,0.33,0.0674,0.44,131.98,4.07,1.27,,0.44,30.71,0.39,,0.28,7.96,118.08,137.17,1.43,0.8947,
MADHUCON,19.25,-1.4982,-60.24,-330.79,0.39,-85.18,Single Segment,-60.24,551.77,-469.98,,-14.99,3657.2,-2441.1,3134.87,77.83,7.3795,
MADRASFERT,87.44,6.8962,4.99,5.71,0.71,3.5,Manufacturing of Chemical Fertilizers,4.99,2300.35,80.42,,3.45,634.24,91.97,2332.55,141.91,16.11,
MAGADSUGAR,7.22,0.7853,45.07,624.62,1.25,5.1,,45.07,1244.54,63.51,,3.78,691.23,880.19,1679.91,0.3,1.4092,
MAGNUM,-1.65,0.0034,-1.69,100.83,2.17,-2.45,,-1.69,464.97,-11.38,,-0.93,267.85,689.78,1223.12,4.7,6.8411,
MAHABANK,,,,,,,,,,,,,,,,,769.156,
MAHAPEXLTD,-1.5,0.0,-4.87,325.67,,-320.77,other financial activities,-4.87,2.14,-6.87,,-1.28,,458.93,536.12,,1.4092,
MAHASTEEL,6.05,0.3656,5.84,96.59,1.41,1.09,STEEL SEGEMENT,5.84,882.85,9.6,,3.55,58.04,158.75,270.27,0.12,1.6434,
MAHEPC,6.86,0.2443,4.54,66.23,1.74,4.07,Precision Farming Products and Services,4.54,312.09,12.69,,3.61,45.21,185.05,351.67,0.03,2.794,
MAHESHWARI,7.83,1.2595,5.74,73.75,1.2,1.54,,5.74,1110.01,17.1,,2.64,274.93,218.28,648.28,7.34,2.9597,
MAHLIFE,8.22,0.0018,14.64,170.01,1.43,25.3,Projects| project management and development,14.61,1178.31,298.17,,3.59,645.25,3626.98,8294.83,79.34,21.334,
MAHLOG,0.88,0.0364,0.25,120.87,1.16,0.15,,0.25,6999.3,10.57,,0.34,43.66,1199.26,3108.02,107.12,9.922,
MAHSCOOTER,1.12,0.0,271.7,24177.42,,99.3,Investment,271.7,312.76,310.56,,1.01,,27634.79,30791.0,0.06,1.143,
MAHSEAMLES,10.19,0.0019,52.33,513.17,14.17,15.0,,52.33,4674.34,701.02,,9.06,13.36,6876.45,7739.04,76.7,13.4,
MAITHANALL,10.51,0.0562,147.16,1399.96,6.32,19.03,,147.16,2251.41,428.4,,9.01,228.89,4075.28,4757.04,41.33,2.911,
MALLCOM,9.44,0.3778,48.15,510.21,1.54,5.57,Manufacture of PPE,48.15,539.61,30.04,,5.86,120.29,318.37,512.48,3.75,0.624,
MALUPAPER,76.62,-5.9878,-11.43,-14.94,0.47,-5.86,Paper,-11.43,333.29,-19.53,,-10.79,152.62,-25.49,181.0,0.13,1.7059,
MAMATA,8.13,0.0004,6.12,75.21,2.14,6.46,MACHINERIES,6.12,233.0,15.05,,5.62,7.94,185.07,267.61,12.2,2.4608,
MANAKALUCO,5.31,1.6936,1.15,21.72,1.21,1.34,METALS,1.15,563.91,7.56,,1.37,241.08,142.35,551.04,2.36,6.5534,
MANAKCOAT,11.66,0.3307,4.41,32.97,1.79,4.6,,4.32,884.48,40.69,,5.39,115.4,348.96,754.81,1.25,10.5834,
MANAKSIA,3.01,0.068,0.88,29.18,5.31,3.33,,0.88,173.06,5.76,,2.57,13.01,191.22,224.54,7.19,6.5534,
MANAKSTEEL,12.25,0.4576,6.09,49.74,1.51,3.53,Metals,6.09,1131.1,39.92,,6.74,149.18,325.98,592.68,4.51,6.5534,
MANALIPETC,10.14,0.0456,7.56,74.47,4.51,12.71,Petrochemicals,7.56,1022.39,129.95,,8.14,58.46,1281.46,1595.94,372.22,17.2069,
MANAPPURAM,9.57,0.0,35.98,169.67,,19.95,Financial Service,35.96,7642.72,1524.65,,2.26,,15937.51,67554.37,4179.94,93.935,
MANBA,11.07,0.0378,9.03,81.56,,13.82,Financial Services,9.03,328.19,45.36,,2.29,,409.76,1979.24,177.84,5.0239,
MANCREDIT,8.86,0.0,7.46,81.79,,21.9,Finance,7.25,69.9,15.31,,2.96,,172.7,516.88,27.15,2.1114,
MANGALAM,-42.41,0.9877,-27.68,65.28,0.82,-18.87,Manufacturing of Bulk Drugs,-27.68,232.13,-43.81,,-14.22,102.06,103.32,308.14,0.67,1.5828,
MANGLMCEM,13.19,0.8898,46.9,355.41,0.72,7.33,Cement,46.9,1758.41,128.95,,5.32,869.58,977.29,2425.14,8.27,2.7497,
MANINDS,10.19,0.2255,27.17,256.27,1.33,5.67,Pipes,26.72,3455.25,195.87,,4.31,433.38,1922.04,4544.72,78.78,7.5,
MANINFRA,9.12,0.025,5.07,57.3,5.55,33.47,,5.07,630.46,211.0,,7.6,57.86,2313.02,2777.94,85.7,40.3666,
MANKIND,11.7,0.0039,46.35,401.19,1.1,13.57,Pharmaceuticals,46.28,14277.64,1938.1,,6.9,6311.54,16561.05,28079.53,391.69,41.28,
MANOMAY,11.49,2.0344,10.88,94.72,1.37,2.76,"1.Manufacturing and Trading of Denim Fabric 2. Manufacturing cotton 
yarn/textured yarn and noil etc. 3.Sales Denim Garments",10.88,710.7,19.64,,2.9,347.8,170.96,676.16,0.46,1.8049,
MANORAMA,32.97,0.5215,37.67,114.24,1.97,16.46,Manufacturing of exotic seed based fats and butters including Cocoa Butter Equivalent (CBE),37.66,1366.74,224.92,,18.75,355.76,682.13,1199.51,9.94,5.9709,
MANORG,8.08,1.1179,29.64,372.0,1.14,4.14,Chemical,29.64,622.57,25.76,,3.48,356.17,318.59,739.51,1.13,0.8564,
MANUGRAPH,8.54,0.0517,1.26,19.08,1.04,5.59,Engineering,1.26,88.64,4.95,,3.63,3.0,58.04,136.62,1.92,3.0415,
MANYAVAR,19.12,0.0,15.46,80.85,3.67,26.16,Retail,15.45,1435.48,375.54,,13.16,,1964.34,2852.72,11.06,24.297,
MAPMYINDIA,14.81,0.0,24.56,165.34,4.92,28.27,Map data and Map data related services GPS navigation| location based services and IoT,24.46,474.1,134.02,,12.94,,905.23,1036.04,61.1,5.475,
MARALOVER,2.95,0.0128,0.79,26.68,0.93,0.33,,0.79,980.87,3.26,,0.47,341.33,110.74,690.32,1.03,4.1508,
MARATHON,8.86,0.0427,32.56,345.55,4.87,41.59,Real Estate,30.59,496.12,206.36,,7.48,99.38,2329.74,2759.63,83.29,6.7421,
MARICO,40.34,0.079,13.62,34.57,1.43,13.32,,13.59,13611.0,1813.0,,18.0,355.0,4494.0,10075.0,404.0,130.0,
MARINE,11.68,0.1678,4.22,35.85,2.12,6.68,,4.22,876.94,58.62,,6.58,84.16,501.67,890.45,22.27,13.9945,
MARKOLINES,12.95,0.4252,11.9,91.25,1.68,7.53,,11.9,348.49,26.23,,7.73,86.15,202.61,339.27,1.83,2.2204,
MARKSANS,13.76,0.0097,9.22,67.36,5.17,14.23,Pharmaceutical Formulation,9.22,2950.94,420.06,,10.88,29.59,3052.68,3860.9,634.14,45.316,
MARSONS,21.29,0.0032,2.69,12.64,2.66,18.88,Sale of power and Distribution of Transformers,2.69,245.43,46.33,,15.93,0.7,217.61,290.78,7.6,17.21,
MARUTI,13.74,0.0,459.46,3343.19,1.07,7.88,The Company is primarily in the business of manufacturing| purchase and sale of Motor Vehicles Components and Spare Parts Automobiles. The other activity of the Company comprise engineering and ancilliary services| facilitation of pre owned car sales| fleet management and car financing. The income from these activities is not material in financial terms but such activities contribute significantly in generating demand for the products of the Company. Accordingly there are no reportable segments.,459.46,183266.1,14445.4,,9.84,,105109.8,146742.2,63.3,31.44,
MASFIN,12.38,0.0,20.46,167.34,,18.83,,20.46,1995.43,375.82,,2.73,,3036.43,13746.6,223.66,18.145,
MASKINVEST,0.1,0.0119,0.19,199.63,1.79,58.22,Investment Business,0.19,0.1,0.06,,0.09,0.73,60.92,61.73,0.35,0.3051,
MASTEK,13.5,0.1408,130.45,965.11,2.16,10.92,,129.5,3698.75,404.0,,9.38,421.39,2991.85,4308.83,704.33,3.1,
MASTERTR,15.4,0.03,10.6,66.54,,21.9,,10.6,575.85,126.09,,5.62,,818.61,2244.28,87.63,12.302,
MATRIMONY,16.55,0.0,15.92,99.84,1.39,7.43,,15.92,459.99,34.17,,7.76,,206.47,440.42,2.93,2.068,
MAWANASUG,7.07,0.7996,9.48,134.12,1.56,2.36,,9.48,1570.94,37.09,,3.3,419.5,524.67,1122.62,26.59,3.912,
MAXESTATES,0.5,0.7527,0.97,193.41,1.79,7.87,REAL ESTATE,0.97,199.45,15.69,,0.13,2379.32,3161.18,12437.2,204.88,16.3446,
MAXHEALTH,13.42,0.3237,14.83,110.43,0.89,17.23,Medical and Healthcare Services,14.76,8373.45,1442.41,,8.37,3478.36,10746.63,17230.94,665.8,97.313,
MAXIND,-0.15,0.0,-0.31,196.67,24.85,-14.61,Business Investment,-0.31,10.88,-1.59,,-0.15,,1032.89,1042.69,3.76,5.252,
MAYURUNIQ,16.93,0.0055,44.13,260.63,7.45,19.83,Manufacturer of Artificial Leather,44.13,967.02,191.74,,15.19,6.2,1132.5,1261.95,79.14,4.3453,
MAZDA,11.03,0.0,13.74,124.51,4.08,12.97,,13.74,212.05,27.51,,8.74,,249.34,314.9,6.73,2.0025,
MAZDOCK,25.82,0.0004,64.04,247.51,1.4,19.82,,64.04,13006.31,2578.36,,9.39,440.06,9984.01,27457.75,2731.42,40.338,
MBAPL,27.32,1.5561,17.14,62.73,1.44,8.04,Fertilizer Chemical & Mineral benification,17.14,1866.98,150.18,,8.93,855.41,549.7,1682.43,0.04,8.7627,
MBECL,604.35,0.1677,1034.87,171.24,1.2,4692.59,The Company is primarily engaged in the business of construction and hence no separate disclosure has been made for segment reporting as per IND AS 108- operating segments.,1034.87,73.51,3449.55,,418.77,95.72,570.79,823.74,3.72,3.3333,
MBEL,14.1,0.1202,16.94,114.98,1.92,7.35,Pre-Engineered Buildings| Structure Steels| Steel Roofing and Components thereof,16.94,1259.72,92.64,,7.98,78.98,657.1,1160.62,95.76,5.7148,
MBLINFRA,-2.37,1.035,-2.65,62.68,0.26,-12.85,Construction and Project Activities,-1.53,176.06,-22.63,,-0.77,989.43,956.0,2949.61,11.2,15.253,
MCL,10.65,0.0125,1.65,18.49,1.62,2.28,Manufacturing of various type of copper wire| cables and other item,1.65,234.2,5.34,,4.76,41.61,50.2,112.17,0.4,2.7143,
MCLEODRUSS,244.6,-29.6158,-11.82,-4.83,0.23,-10.7,,-11.82,1154.39,-123.5,,-5.25,1495.3,-50.49,2353.29,16.06,10.446,
MCLOUD,16.64,0.4057,1.95,0.0,2.0,16.38,,1.95,697.88,114.29,,9.91,278.63,686.79,1153.19,41.04,2945335.6,
MEDANTA,13.91,0.2987,20.71,148.29,2.67,12.56,Healthcare services,20.66,4410.27,554.07,,9.38,1190.05,3984.28,5905.0,127.33,26.869,
MEDIASSIST,10.48,0.0061,12.14,114.25,1.34,9.87,Health Management Services,12.14,904.77,89.31,,6.51,,852.4,1372.46,54.63,7.461,
MEDICAMEQ,3.56,0.1734,7.22,203.17,2.54,4.95,PHARMACEUTICALS,7.22,197.77,9.8,,2.63,47.78,275.55,371.99,31.26,1.3563,
MEDICO,17.38,0.0025,1.58,9.1,1.66,6.35,manufacturer and exporter of pharmaceutical formulations,1.58,206.38,13.12,,8.55,18.84,75.47,153.4,1.91,8.2984,
MEDPLUS,11.12,0.0,18.33,164.48,3.0,3.19,,18.29,6892.47,219.61,,5.58,,1974.65,3932.53,198.41,12.0055,
MEESHO,-30.95,0.0,-3.11,9.61,1.55,-10.75,,-3.11,12626.35,-1357.74,,-17.17,,4386.37,7906.75,620.37,456.406,
MEGASTAR,9.04,0.0069,8.23,91.08,1.15,1.75,Flour Mill,8.23,532.58,9.3,,3.47,131.4,102.87,268.16,3.91,1.1294,
MEIL,7.31,0.0007,17.46,213.67,4.99,7.45,,17.46,579.68,43.17,,6.11,45.43,590.37,707.05,5.79,2.763,
MELSTAR,-43.89,1.7526,-7.66,17.45,1.54,-285.25,Single segment,-7.66,0.75,-2.14,,-15.38,8.54,4.87,13.91,0.07,0.2794,
MENONBE,20.64,0.2474,6.83,33.07,2.51,13.02,Auto Components & engineering parts thereof.,6.83,293.81,38.25,,14.3,45.85,185.35,267.52,11.03,5.604,
METROBRAND,20.52,0.0,15.1,74.36,2.89,14.52,Retail footwear,15.06,2863.63,415.89,,10.36,,2026.7,4015.3,32.57,27.254,
METROPOLIS,12.54,0.0123,9.19,73.53,1.4,11.62,Pathology Services,9.19,1645.85,191.18,,8.94,18.73,1524.56,2138.05,54.78,20.7328,
MFML,-0.02,0.0045,-0.02,91.99,0.87,-0.02,Traditional Textiles Processing Division,-0.02,135.1,-0.02,,-0.01,77.29,97.69,199.76,0.95,1.062,
MFSL,1.64,0.0,2.45,187.01,,0.22,,2.45,47674.11,105.56,,0.05,,6419.99,198935.56,2137.15,34.33,
MGEL,18.23,0.8651,1.37,7.53,1.37,1.34,,1.37,3384.46,45.22,,5.62,214.57,248.02,805.02,3.54,32.9556,
MGL,13.05,0.0,85.15,652.11,0.94,9.27,Sale of Natural Gas,85.15,9065.26,840.55,,9.36,,6441.59,8981.12,57.2,9.878,
MHLXMIRU,24.02,0.1285,20.51,85.38,3.15,19.45,Polymer based Technical Textiles & Rubber,20.51,111.97,21.78,,18.88,11.65,90.67,115.38,16.4,1.062,
MHRIL,8.55,1.5747,3.45,38.86,1.52,2.24,,3.44,2991.74,67.0,,0.59,1233.99,783.65,11384.57,35.93,20.1677,
MICEL,-5.83,0.2039,-0.53,8.99,1.91,-6.63,,-0.53,190.52,-12.63,,-3.57,44.19,216.76,354.15,0.29,24.1012,
MIDHANI,8.58,0.0019,7.02,81.78,2.52,10.88,Super Alloys Plant,7.02,1208.63,131.47,,4.08,284.02,1531.98,3221.3,192.09,18.734,
MIDWESTLTD,10.88,0.1756,29.45,270.61,2.74,16.49,The company is primarily engaged in the business of exploration| exploitation| manufacturing| processing and selling of dressed Granite blocks| Slabs| Quartz and Diamond cutting wires,29.45,645.62,106.48,,7.79,171.83,978.52,1366.77,63.37,3.616,
MINDACORP,13.47,0.0046,15.31,111.19,0.94,5.79,Automotive,15.07,6185.34,358.22,,6.52,1212.17,2658.52,5495.42,102.77,23.91,
MINDTECK,10.38,0.0,9.86,95.01,5.63,7.74,IT SERVICES,9.85,407.3,31.52,,8.52,,303.57,369.85,61.69,3.195,
MIRCELECTR,-31.43,0.3107,-2.45,6.43,1.78,-11.32,Electronic Consumer Durables,-2.45,660.01,-74.74,,-14.27,73.89,237.78,523.62,13.47,36.96,
MIRZAINT,0.45,0.0,0.15,33.97,4.06,0.41,,0.15,516.23,2.13,,0.38,,469.43,555.76,26.64,13.8202,
MITCON,5.44,0.0053,5.41,99.27,1.54,7.49,,5.35,125.67,9.41,,2.93,92.05,172.92,321.53,10.56,1.7418,
